アリス,,「browserの魔道具」を起動した
アリス,browserの魔道具,「帳簿管理の方法」を調べた
アリス,browserの魔道具,「帳簿の魔道具」を調べた
アリス,lsの呪文,自宅の書庫にある魔法の書を調べた
アリス,vimの呪文,「帳簿管理の魔道具一覧」を作成した
アリス,vimの呪文,「帳簿管理の魔道具一覧」に調べた内容を書き込んだ
アリス,mvの呪文,「帳簿管理の魔道具一覧」を自宅の書庫に転送した
アリス,cpの呪文,「帳簿管理の魔道具一覧」を村長の家の書庫に複製した
アリス,,「mailの魔道具」を起動した
アリス,mailの魔道具,「村長への手紙」を作成した
アリス,mailの魔道具,「村長への手紙」に「帳簿管理の魔道具一覧」の内容を追記した
アリス,mailの魔道具,「村長へ手紙」を送った
アリス,,「mailの魔道具」を停止した
アリス,browserの魔道具,「帳簿の魔道具」を取得した
アリス,,「帳簿の魔道具」を起動した
アリス,,「帳簿の魔道具」を停止した
アリス,rmの呪文,「帳簿の魔道具」を消した
アリス,,「browserの魔道具」を停止した
アリス,cdの呪文,アリスの家に移動した
アリス,,「ゲームの魔道具」を起動した
